lbo_rank,ticker,company,sector,sub_industry,cik,sec_company_title,fetch_success,error,year,filed,revenue,gross_profit,operating_income,depreciation_amortization,ebit,ebitda,interest_expense,operating_cash_flow,capex,fcf,free_cash_flow,total_debt,cash,net_debt,current_assets,current_liabilities,fcf_margin,fcf_conversion,fcf_to_debt,debt_to_ebitda,net_debt_to_ebitda,interest_coverage,cash_interest_coverage,current_ratio,capex_to_revenue,capex_to_ebitda,usable_metric_count,revenue_concept,debt_concept,fcf_score,fcf_margin_score,fcf_conversion_score,fcf_to_debt_score,debt_to_ebitda_score,net_debt_to_ebitda_score,interest_coverage_score,cash_interest_coverage_score,capex_to_revenue_score,capex_to_ebitda_score,cash_flow_strength_score,deleveraging_capacity_score,leverage_score,coverage_score,capex_burden_score,lbo_financial_score,financial_feasibility_score,missing_critical_data,pass_fcf_filter,pass_interest_coverage_filter,pass_debt_to_ebitda_filter,pass_current_ratio_filter,pass_capex_to_ebitda_filter,pass_hard_filters,financial_red_flag,lbo_rating,lbo_status
302,PPL,PPL Corporation,Utilities,Electric Utilities,922224,PPL Corp,True,,2025.0,2026-02-20,8290000000.0,,1630000000.0,1254000000.0,1630000000.0,2884000000.0,666000000.0,1758000000.0,2390000000.0,-632000000.0,-632000000.0,16503000000.0,306000000.0,16197000000.0,2880000000.0,3333000000.0,-0.0762364294330518,-0.2191400832177531,-0.0382960673816881,5.722260748959778,5.616158113730929,2.4474474474474475,2.63963963963964,0.8640864086408641,0.2882991556091677,0.8287101248266296,18,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,6.0,0.06,False,False,True,False,False,False,False,True,Marginal,Fail
303,WDC,Western Digital,Information Technology,"Technology Hardware, Storage & Peripherals",106040,WESTERN DIGITAL CORP,True,,2025.0,2025-08-14,6255000000.0,1391000000.0,-548000000.0,828000000.0,-548000000.0,280000000.0,304000000.0,-408000000.0,821000000.0,-1229000000.0,-1229000000.0,7434000000.0,1551000000.0,5883000000.0,8060000000.0,6087000000.0,-0.1964828137490008,-4.389285714285714,-0.1653214958299704,26.55,21.01071428571429,-1.8026315789473684,-1.3421052631578947,1.3241333990471498,0.1312549960031974,2.932142857142857,19,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.03,False,False,False,False,True,False,False,True,Marginal,Fail
304,AES,AES Corporation,Utilities,Independent Power Producers & Energy Traders,874761,AES CORP,True,,2025.0,2026-03-02,12668000000.0,2504000000.0,,1147000000.0,,,1319000000.0,3034000000.0,7724000000.0,-4690000000.0,-4690000000.0,,1524000000.0,,6649000000.0,8571000000.0,-0.3702241869276918,,,,,,2.3002274450341167,0.7757554544393886,0.6097252920745184,,12,Revenues,,0.0,0.0,,,,,,2.0,0.0,,0.0,,,2.0,0.0,,,True,False,False,False,False,False,False,True,Insufficient data,Fail
305,ABNB,Airbnb,Consumer Discretionary,"Hotels, Resorts & Cruise Lines",1559720,"Airbnb, Inc.",True,,2025.0,2026-02-12,9917000000.0,,1518000000.0,18000000.0,1518000000.0,1536000000.0,,3884000000.0,37000000.0,3847000000.0,3847000000.0,2000000000.0,6864000000.0,-4864000000.0,17180000000.0,10161000000.0,0.3879197337904608,2.5045572916666665,1.9235,1.3020833333333333,-3.1666666666666665,,,1.6907784666863497,0.0037309670263184,0.0240885416666666,16,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,4.0,5.0,5.0,5.0,4.0,5.0,,,5.0,5.0,4.666666666666667,5.0,4.5,,5.0,,,True,True,False,True,True,True,False,True,Insufficient data,Fail
306,AKAM,Akamai Technologies,Information Technology,Internet Services & Infrastructure,1086222,AKAMAI TECHNOLOGIES INC,True,,2017.0,2018-03-01,2197448000.0,,637338000.0,570776000.0,637338000.0,1208114000.0,72332000.0,1348439000.0,457909000.0,890530000.0,890530000.0,,489468000.0,,2578097000.0,2091323000.0,0.4052564611312759,0.7371241455690439,,,,8.811286843997124,18.642357462810374,1.2327588803833744,0.2083821778717858,0.3790279725257716,15,Revenues,,3.0,5.0,4.0,,,,5.0,5.0,1.0,1.0,4.0,,,5.0,1.0,,,True,True,True,False,True,True,False,True,Insufficient data,Fail
307,ARE,Alexandria Real Estate Equities,Real Estate,Office REITs,1035443,"ALEXANDRIA REAL ESTATE EQUITIES, INC.",True,,,,,,,1093473000.0,,,74204000.0,1630550000.0,,,,12400555000.0,552146000.0,11848409000.0,,,,,,,,,21.973882809552045,,,,5,,LongTermDebt,,,,,,,,5.0,,,,,,5.0,,,,True,False,False,False,False,False,False,True,Insufficient data,Fail
308,ALGN,Align Technology,Health Care,Health Care Supplies,1097149,ALIGN TECHNOLOGY INC,True,,2025.0,2026-02-27,3862260000.0,2706863000.0,643338000.0,142401000.0,643338000.0,785739000.0,85000.0,785776000.0,177716000.0,608060000.0,608060000.0,,1043887000.0,,2492441000.0,2038027000.0,0.1574363196677592,0.7738702037190467,,,,7568.682352941177,9244.423529411764,1.2229676054340792,0.0460134739763765,0.2261768857088677,16,RevenueFromContractWithCustomerExcludingAssessedTax,,3.0,4.0,4.0,,,,5.0,5.0,4.0,2.0,3.6666666666666665,,,5.0,3.0,,,True,True,True,False,True,True,False,True,Insufficient data,Fail
309,AEE,Ameren,Utilities,Multi-Utilities,1002910,AMEREN CORP,True,,2025.0,2026-02-18,7500000000.0,,1558000000.0,,1558000000.0,,566000000.0,2564000000.0,3597000000.0,-1033000000.0,-1033000000.0,19431000000.0,7000000.0,19424000000.0,2264000000.0,3413000000.0,-0.1377333333333333,,-0.0531624723380165,,,2.752650176678445,4.530035335689046,0.663346029885731,0.4796,,14,Revenues,LongTermDebt,0.0,0.0,,0.0,,,2.0,3.0,0.0,,0.0,0.0,,2.5,0.0,,,True,False,True,False,False,False,False,True,Insufficient data,Fail
310,AMGN,Amgen,Health Care,Biotechnology,318154,AMGEN INC,True,,2025.0,2026-02-13,28190000000.0,4231000000.0,7897000000.0,4071000000.0,7897000000.0,11968000000.0,,8471000000.0,1112000000.0,7359000000.0,7359000000.0,60099000000.0,11973000000.0,48126000000.0,29030000000.0,23099000000.0,0.2610500177367861,0.6148897058823529,0.1224479608645734,5.0216410427807485,4.021223262032086,,,1.256764362093597,0.0394466122738559,0.0929144385026738,17,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,5.0,5.0,4.0,3.0,0.0,1.0,,,4.0,4.0,4.666666666666667,3.0,0.5,,4.0,,,True,True,False,False,True,True,False,True,Insufficient data,Fail
311,APA,APA Corporation,Energy,Oil & Gas Exploration & Production,1841666,APA Corp,True,,,,,,3696000000.0,1540000000.0,3696000000.0,5236000000.0,,3129000000.0,,,,53000000.0,625000000.0,-572000000.0,3404000000.0,2955000000.0,,,,0.010122230710466,-0.1092436974789916,,,1.1519458544839256,,,9,,DebtCurrent,,,,,5.0,5.0,,,,,,,5.0,,,,,True,False,False,True,True,False,False,True,Insufficient data,Fail
312,ADM,Archer Daniels Midland,Consumer Staples,Agricultural Products & Services,7084,Archer-Daniels-Midland Co,True,,2025.0,2026-02-17,25691000000.0,7513000000.0,,1059000000.0,,,647000000.0,4460000000.0,1494000000.0,2966000000.0,2966000000.0,8254000000.0,1368000000.0,6886000000.0,27718000000.0,19938000000.0,0.1154489899186485,,0.3593409256118245,,,,6.893353941267388,1.3902096499147356,0.0581526604647541,,14,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,4.0,3.0,,5.0,,,,4.0,3.0,,3.5,5.0,,4.0,3.0,,,True,True,False,False,True,False,False,True,Insufficient data,Fail
313,ADP,Automatic Data Processing,Industrials,Human Resource & Employment Services,8670,AUTOMATIC DATA PROCESSING INC,True,,2025.0,2025-08-06,18012200000.0,1382700000.0,,549300000.0,,,253300000.0,4207600000.0,,,,1100000.0,2083500000.0,-2082400000.0,45542500000.0,45080000000.0,,,,,,,16.611133043821557,1.010259538598048,,,10,RevenueFromContractWithCustomerExcludingAssessedTax,DebtCurrent,,,,,,,,5.0,,,,,,5.0,,,,True,False,False,False,True,False,False,True,Insufficient data,Fail
314,AVY,Avery Dennison,Materials,Paper & Plastic Packaging Products & Materials,8818,Avery Dennison Corp,True,,2025.0,2026-02-25,8364300000.0,2277500000.0,,298400000.0,,,70200000.0,826000000.0,265300000.0,560700000.0,560700000.0,592300000.0,329100000.0,263200000.0,3078700000.0,2862600000.0,0.0670348983178508,,0.9466486577747762,,,,11.766381766381766,1.0754908125480334,0.0317181354088208,,14,RevenueFromContractWithCustomerExcludingAssessedTax,DebtCurrent,3.0,2.0,,5.0,,,,5.0,4.0,,2.5,5.0,,5.0,4.0,,,True,True,False,False,True,False,False,True,Insufficient data,Fail
315,AXON,Axon Enterprise,Industrials,Aerospace & Defense,1069183,"AXON ENTERPRISE, INC.",True,,2025.0,2026-02-25,1560699000.0,955453000.0,156850000.0,19315000.0,156850000.0,176165000.0,,189263000.0,59635000.0,129628000.0,129628000.0,680289000.0,598545000.0,81744000.0,2297481000.0,1677875000.0,0.0830576555761232,0.7358328839440298,0.1905484286825158,3.8616581046178298,0.4640195271478443,,,1.3692801907174252,0.0382104428848868,0.3385178667726279,17,RevenueFromContractWithCustomerExcludingAssessedTax,LongTermDebt,2.0,2.0,4.0,4.0,2.0,5.0,,,4.0,2.0,2.6666666666666665,4.0,3.5,,3.0,,,True,True,False,True,True,True,False,True,Insufficient data,Fail
316,BKR,Baker Hughes,Energy,Oil & Gas Equipment & Services,1701605,Baker Hughes Co,True,,2025.0,2026-02-05,25506000000.0,841000000.0,1185000000.0,1087000000.0,1185000000.0,2272000000.0,,3062000000.0,1224000000.0,1838000000.0,1838000000.0,53000000.0,2488000000.0,-2435000000.0,17211000000.0,12991000000.0,0.0720614757312005,0.8089788732394366,34.679245283018865,0.0233274647887323,-1.0717429577464788,,,1.324840274035871,0.0479887085391672,0.5387323943661971,17,RevenueFromContractWithCustomerExcludingAssessedTax,DebtCurrent,4.0,2.0,5.0,5.0,5.0,5.0,,,4.0,0.0,3.6666666666666665,5.0,5.0,,2.0,,,True,True,False,True,True,False,False,True,Insufficient data,Fail
